,AR-ST,Curvature-Aware Tracing,Enhanced,Hybrid,Overstep-Bisect,Relaxed(ω=1.2),Segment,Slope-AR(β=0.3),Standard
Sphere,0.38490002043545246,1.0363499168306591,0.7614500354975463,0.5479997489601373,1.0842501651495693,0.37165009416639805,1.1634500697255137,1.281999982893467,0.3892001695930958
Grazing Plane,2.11494998075068,1.6377000138163569,6.406999658793211,2.2497000172734265,2.656200202181935,1.385400304570794,1.2081998866051433,1.2419999111443758,2.0888003055006266
Cube,1.1106999590992928,1.0216000955551863,1.0992500465363264,1.0985999833792448,0.5915500223636627,1.190149923786521,1.1258500162512066,0.5276999436318874,0.652550021186471
Thin Torus,1.9798499997705221,0.6193497683852911,1.2483000755310059,0.699999975040555,2.120550256222487,0.6071501411497593,1.1920500546693804,1.1976999230682848,1.0845002252608538
Cylinder,1.3780498411506417,0.7714999374002218,1.3626501895487309,0.8302000351250173,2.2898500319570303,1.6296501271426678,1.133650075644255,1.3759499415755272,0.8540498092770576
Near Miss,1.2704997789114714,1.2692499440163374,2.7373998891562223,1.0455499868839981,1.6300501301884651,1.8571498803794386,1.1389499995857477,0.8447498548775911,1.0261500719934702
Hollow Cube (CSG),0.49470015801489353,0.9614001028239728,1.6380499582737684,1.1122999712824821,0.672300113365054,1.1008002329617739,1.2640999630093575,1.1565496679395437,1.3101000804454088
Smooth Blend,1.5267499256879091,1.3846501242369413,3.470300231128931,1.6981998924165964,1.496699871495366,1.4205998741090298,0.5462500266730785,0.836649676784873,0.8310500998049974
Onion Shell,1.9937001634389164,2.096200129017234,4.584050038829446,1.7175497487187386,4.34345006942749,1.0633997153490782,1.4337499160319567,1.3747999910265207,3.6361000966280694
Menger Sponge (iter=3),1.6082499641925094,2.4001498240977526,2.8269500471651554,2.606600057333708,3.1846498604863878,2.8332998044788837,1.9841999746859074,1.5242001973092554,3.7258500233292584
Mandelbulb,9.83704999089241,8.470150176435709,5.542950006201864,7.06235016696155,12.845949735492468,4.5508998446166515,2.5888499803841114,9.732050122693181,11.921600205823779
Bad Lipschitz Sphere,1.7793497536331415,1.7073000781238081,2.2543000523000956,1.8894001841545103,4.248450044542551,3.654399886727333,1.8544502090662718,2.6403001975268126,3.68384993635118
Pillar Forest,4.631049931049348,5.120750283822417,3.986049909144641,3.9941000286489725,2.155599882826209,5.711949896067381,5.880299955606461,5.497699836269021,3.3400498796254396
Thin Planes Stack,6.211599800735712,5.238450132310391,6.359950173646212,4.745850106701255,0.9807001333683728,5.74229983612895,11.02494983933866,4.222600022330881,6.134100025519729
