,AR-ST,Curvature-Aware Tracing,Enhanced,Hybrid,Overstep-Bisect,Relaxed(ω=1.2),Segment,Slope-AR(β=0.3),Standard
Sphere,0.00018561922281802297,0.0004997829460024397,0.0003672116297731222,0.0002642745702932761,0.0005228829885945068,0.00017922940497993732,0.0005610773870204058,0.0006182484485404451,0.00018769298302136179
Grazing Plane,0.0010199411558404127,0.0007897858862926104,0.0030897953601433307,0.0010849247768486817,0.0012809607456510104,0.0006681135728061314,0.0005826581243273261,0.0005989582904824342,0.0010073303942422004
Cube,0.0005356384833619274,0.0004926697991682032,0.0005301167276892006,0.0005298032327253302,0.0002852768240565503,0.0005739534740482837,0.0005429446451828736,0.00025448492652000744,0.0003146942617604509
Thin Torus,0.0009547887730374817,0.0002986833373771658,0.0006019965642028385,0.0003375771484570578,0.0010226419059714924,0.00029280002948966013,0.000574869818031144,0.0005775944845043812,0.0005230035808549642
Cylinder,0.0006645687891351473,0.0003720582259839033,0.000657142259620337,0.000400366529284827,0.0011042872453496482,0.0007859038035988946,0.0005467062478994284,0.000663556106083877,0.00041186815648006254
Near Miss,0.000612702439675671,0.0006120997029399776,0.0013201195453106781,0.0005042197081809404,0.0007860967063023077,0.0008956162617570595,0.0005492621525780034,0.00040738322476735684,0.0004948640393487028
Hollow Cube (CSG),0.00023857067805502195,0.00046363816687112883,0.0007899546480872726,0.0005364100941755797,0.0003242188046706472,0.0005308643098773986,0.0006096161087043583,0.0005577496469615855,0.0006317998073135652
Smooth Blend,0.0007362798638541228,0.0006677517960247595,0.0016735629972651097,0.0008189621394755963,0.0007217881324726881,0.0006850886738565923,0.0002634307613199646,0.00040347688888159387,0.0004007764756004039
Onion Shell,0.0009614680572139836,0.0010108989819720457,0.0022106722795280894,0.0008282936673990831,0.002094642201691498,0.0005128277948249798,0.0006914303221604729,0.0006630015388823885,0.0017535204941300491
Menger Sponge (iter=3),0.0007755835089662952,0.0011574796605409686,0.0013633053853998628,0.001257040922711086,0.0015358072243857968,0.0013663675754624247,0.0009568865618662748,0.0007350502494739851,0.0017968026732876439
Mandelbulb,0.0047439477193732685,0.004084756065024937,0.0026731047483612384,0.0034058401653942662,0.006194998907934253,0.002194685496053555,0.001248480893317955,0.004693311208860523,0.005749228494320881
Bad Lipschitz Sphere,0.0008580969105098097,0.000823350732119892,0.0010871431579379319,0.0009111690702905625,0.0020488281464807827,0.0017623456243862526,0.0008943143369339659,0.001273292919331989,0.0017765480017125676
Pillar Forest,0.0022333381226125326,0.002469497629158187,0.0019222848713081793,0.0019261670662851912,0.0010395446965789975,0.0027546054668534823,0.002835792802665153,0.0026512827142501066,0.001610749363245293
Thin Planes Stack,0.0029955631755091204,0.00252625874436265,0.00306710560071673,0.0022887008616421945,0.0004729456661691613,0.002769241819120829,0.00531681608764403,0.0020363618934851856,0.002958188669714375
