,AR-ST,Curvature-Aware Tracing,Enhanced,Hybrid,Overstep-Bisect,Relaxed(ω=1.2),Segment,Slope-AR(β=0.3),Standard
Sphere,0.00018569155571763804,0.0007530478695924911,0.00044257815458012724,0.0002954282446111909,0.0007894242217945348,0.0001696325740834445,0.0009567418960670446,0.0009739631445601261,0.00022051507484219552
Grazing Plane,0.0011779417418213676,0.0010438368154149274,0.0027198928162559042,0.0012648726826430194,0.001449392360051588,0.0010446229332304892,0.0007314043434661595,0.0006616705326854975,0.0013336323235431157
Cube,0.000668354532760453,0.0007016203681691147,0.0008446469884667615,0.0008041955834976111,0.00034272279999977736,0.000634360517717231,0.0008380159861077613,0.00031345485627685705,0.0004502218399903979
Thin Torus,0.0009786024208922215,0.0003133873066456736,0.0008298996778457988,0.000372583913921528,0.0012138792459873114,0.0003207465335525526,0.0008147713899997604,0.0007044800889914004,0.0007663677002081969
Cylinder,0.0009223523967968369,0.0004252459926467481,0.0009154466147546046,0.0004067949725769138,0.0012584394336258417,0.0011920862258799994,0.0009683497208041243,0.0009239872640507572,0.0005189429003498115
Near Miss,0.0007749710484971236,0.0009195070931498236,0.001684418411632241,0.0005631703476674487,0.0010089506646675736,0.0010709876351253946,0.0008224199934184183,0.0005327208243586399,0.0005760320848900319
Hollow Cube (CSG),0.00026421685667886734,0.0005523051421968611,0.0008847318333861085,0.0007569010056523651,0.0004990403267359476,0.0006424431185335795,0.0007966965863432298,0.0007693045821118479,0.0009181568415959102
Smooth Blend,0.0010617235670064543,0.0010786458499942343,0.001579726094747951,0.0010462625163828632,0.0008131799763815915,0.0012815827277437267,0.0002720534223358917,0.00046488711643492646,0.0004709683573175291
Onion Shell,0.0012262007882703602,0.0009798129021986331,0.0023512200888585483,0.001001731230464856,0.002102493274350432,0.0005661458101117822,0.0010281105516449674,0.0006728298754796363,0.0019180989724707524
Menger Sponge (iter=3),0.0012733893033137177,0.0014480082663121045,0.001561578913278487,0.001603433634887484,0.0019877893520723225,0.0016957657615780648,0.0014665268360131226,0.001032769095790745,0.0019599971252588417
Mandelbulb,0.004808801136670898,0.004459056745636863,0.0029066840745796117,0.003485942350515096,0.005295187113432926,0.0033330246946274267,0.001553882162782283,0.004611241371251562,0.005186019498742771
Bad Lipschitz Sphere,0.001009929550446593,0.0008320746052992979,0.0012925877483751349,0.0010415798986983128,0.002607663056416506,0.0018046247768560768,0.0012583140805536124,0.0016561969931461608,0.0018691405582810857
Pillar Forest,0.002397796120976075,0.0028045283945602145,0.0022050202303180865,0.0020135271987794428,0.0022757860593336783,0.002927194235567578,0.0029276282778785876,0.0026972655986254625,0.001637471081109798
Thin Planes Stack,0.0031502700657267584,0.002462075613431897,0.004309375004528125,0.00270503955511635,0.000744092400885693,0.0029004002521734362,0.0046655477939409285,0.0023962625332556112,0.0029992187378804465
