,AR-ST,Curvature-Aware Tracing,Enhanced,Hybrid,Overstep-Bisect,Relaxed(ω=1.2),Segment,Slope-AR(β=0.3),Standard
Sphere,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Grazing Plane,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Cube,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Thin Torus,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Cylinder,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Near Miss,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Hollow Cube (CSG),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Smooth Blend,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Onion Shell,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Menger Sponge (iter=3),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Mandelbulb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Bad Lipschitz Sphere,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Pillar Forest,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Thin Planes Stack,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
