,AR-ST,Curvature-Aware Tracing,Enhanced,Hybrid,Overstep-Bisect,Relaxed(ω=1.2),Segment,Slope-AR(β=0.3),Standard
Sphere,0.25850758590264084,0.25850758590264084,0.26124881207575035,0.25850758590264084,0.34573919158290933,0.25850758590264084,0.02950645778650119,0.25850758590264084,0.25850758590264084
Grazing Plane,1.079465274653501,1.079465274653501,1.1015464764962226,1.079465274653501,1.081444870804747,1.079465274653501,0.5025338644699918,1.079465274653501,1.079465274653501
Cube,0.1413381398588787,0.1413381398588787,0.14595441100038128,0.1413381398588787,0.1659360715250174,0.1413381398588787,0.022510880673373188,0.1413381398588787,0.1413381398588787
Thin Torus,0.1409353521503048,0.1409353521503048,0.15261212195511217,0.1409353521503048,0.1547365998780286,0.1409353521503048,0.010647189639232777,0.1409353521503048,0.1409353521503048
Cylinder,0.6247721754934317,0.6247721754934317,0.619553281556309,0.6247721754934317,0.8275640171104007,0.6247721754934317,0.04456613134270833,0.6247721754934317,0.6247721754934317
Near Miss,0.4933794740854222,0.4933794740854222,0.4929745523098074,0.4933794740854222,0.6682307759626412,0.4933794740854222,0.052372987272194874,0.4933794740854222,0.4933794740854222
Hollow Cube (CSG),0.24463729259776482,0.24463729259776482,0.25433242716906984,0.24463729259776482,0.3211670660255132,0.24463729259776482,0.012395239522059759,0.24463729259776482,0.24463729259776482
Smooth Blend,0.21529885107444394,0.21529885107444394,0.22441409257918965,0.21529885107444394,0.2746640864400952,0.21529885107444394,0.020241576662218128,0.21529885107444394,0.21529885107444394
Onion Shell,0.8816070636113484,0.8816070636113484,0.8870259491253046,0.8816070636113484,1.1369666039998885,0.8816070636113484,0.13361310376613228,0.8816070636113484,0.8816070636113484
Menger Sponge (iter=3),0.9024290518481054,0.9024290518481054,0.9038247259310734,0.9024290518481054,0.8720599141716957,0.9024290518481054,0.04052498333248091,0.9024290518481054,0.9024290518481054
Mandelbulb,1.3418597000110664,1.3418597000110664,1.2129832234196825,1.3418597000110664,1.1730160011415496,1.3418597000110664,0.12642878246712097,1.3418597000110664,1.3418597000110664
Bad Lipschitz Sphere,1.1116336026585396,1.1116336026585396,1.1116336026585396,1.1116336026585396,1.1117386151666258,1.1116336026585396,0.11473889921182467,1.1116336026585396,1.1116336026585396
Pillar Forest,3.225230525897609,3.225230525897609,5.214724351962407,3.225230525897609,4.5625275983265885,3.225230525897609,1.545452015949988,3.225230525897609,3.225230525897609
Thin Planes Stack,1.076650464993752,1.076650464993752,0.0,1.076650464993752,0.0,1.076650464993752,10.722807536003765,1.076650464993752,1.076650464993752
