,AR-ST,Curvature-Aware Tracing,Enhanced,Hybrid,Overstep-Bisect,Relaxed(ω=1.2),Segment,Slope-AR(β=0.3),Standard
Sphere,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
Grazing Plane,0.5925925925925926,0.5905671296296297,0.5905671296296297,0.5939429012345679,0.5967399691358025,0.5925925925925926,0.597608024691358,0.597608024691358,0.5905671296296297
Cube,0.02334104938271605,0.03288966049382716,0.03288966049382716,0.03288966049382716,0.03279320987654321,0.02334104938271605,0.03288966049382716,0.03288966049382716,0.03288966049382716
Thin Torus,0.0018325617283950616,0.004436728395061728,0.004050925925925926,0.004436728395061728,0.004436728395061728,0.0018325617283950616,0.004436728395061728,0.004436728395061728,0.004436728395061728
Cylinder,0.03607253086419753,0.044945987654320986,0.044945987654320986,0.044945987654320986,0.044945987654320986,0.03607253086419753,0.044945987654320986,0.044945987654320986,0.044945987654320986
Near Miss,0.03308256172839506,0.042534722222222224,0.042534722222222224,0.042534722222222224,0.042534722222222224,0.03308256172839506,0.042534722222222224,0.042534722222222224,0.042534722222222224
Hollow Cube (CSG),0.011477623456790124,0.020640432098765434,0.01707175925925926,0.020640432098765434,0.020543981481481483,0.011477623456790124,0.020640432098765434,0.020640432098765434,0.020640432098765434
Smooth Blend,0.014467592592592593,0.022472993827160493,0.022472993827160493,0.022472993827160493,0.022472993827160493,0.014467592592592593,0.022472993827160493,0.022472993827160493,0.022472993827160493
Onion Shell,0.10271990740740741,0.10271990740740741,0.10271990740740741,0.10271990740740741,0.10271990740740741,0.10271990740740741,0.10271990740740741,0.10271990740740741,0.10271990740740741
Menger Sponge (iter=3),0.01716820987654321,0.02546296296296296,0.025270061728395063,0.025559413580246913,0.025559413580246913,0.01716820987654321,0.025559413580246913,0.025559413580246913,0.025559413580246913
Mandelbulb,0.18209876543209877,0.18209876543209877,0.18200231481481483,0.1798804012345679,0.17843364197530864,0.18209876543209877,0.18209876543209877,0.18209876543209877,0.18209876543209877
Bad Lipschitz Sphere,0.0,0.0,0.0,0.0,0.0,0.0,0.16570216049382716,0.0,0.0
Pillar Forest,0.8071469907407407,0.8564332561728395,0.8058931327160493,0.8564332561728395,0.8563368055555556,0.8559992283950617,0.8564332561728395,0.8564332561728395,0.8564332561728395
Thin Planes Stack,0.9772376543209876,0.9693287037037037,0.9693287037037037,0.9814814814814815,0.9814814814814815,0.9772376543209876,0.9814814814814815,0.9814814814814815,0.9693287037037037
