,AR-ST,Curvature-Aware Tracing,Enhanced,Hybrid,Overstep-Bisect,Relaxed(ω=1.2),Segment,Slope-AR(β=0.3),Standard
Sphere,11.194208127562888,14.95874808532801,11.592105502244028,12.782065015118052,11.448085466708793,11.12174479967058,11.674512930812291,10.311154525239814,11.108318883796326
Grazing Plane,43.67424768178701,66.08705631533442,46.86174287161083,42.841377324765304,36.423905278494246,40.672530865125694,47.793272586451714,33.194560195243184,48.416999404399114
Cube,18.411858620288793,24.808019858297754,19.68475115984207,20.285407039027856,19.932908945060106,19.210951960966117,20.666526818977104,16.064867861446764,18.061275068809923
Thin Torus,11.07675056972104,15.28899980415044,11.680189053561067,12.825477420442944,11.945326947664588,10.510947133836991,12.310739776570879,12.44707271797341,11.23747588954521
Cylinder,12.217896424031265,16.378298621728188,12.786424593758527,13.83458236235993,13.656843181291341,12.383714330312221,15.377695793479992,11.667621521032013,12.501702359360126
Near Miss,20.389158960847173,24.501615562145656,20.059630593477554,21.993132723304214,21.719806120669137,19.390851652312932,22.746913578256354,18.438614023142254,20.999889077049577
Hollow Cube (CSG),19.120505407673917,27.28669462584672,21.03950134403055,23.135286454940616,23.373206024615808,20.105651991023613,23.123350695607737,19.59421296092325,22.034596833781293
Smooth Blend,27.342713166698008,32.59093846506324,27.817153750220314,31.140962568719665,31.737567513590438,26.185435952940658,31.847685179709067,25.263450026366986,35.39504725694438
Onion Shell,14.009495552508506,17.2117910731259,12.179610335065432,14.136983983557855,13.410431131854205,12.740364570758466,13.437784533088244,11.662943664159235,12.359100125009988
Menger Sponge (iter=3),38.90092593343227,50.21954089942831,43.67431518650487,46.082093943784265,46.34754050466991,39.79154608254091,47.86862945489522,35.63359857735908,43.82732929374425
Mandelbulb,62.01887057007601,73.724107826337,58.159153159516634,60.76159818657749,48.56769387347244,68.24323881354994,68.48532986488728,55.83371913181273,66.46322819708277
Bad Lipschitz Sphere,8.612895445692653,12.122415110179983,10.45550251782751,8.953096048459468,8.817457556789224,9.356524880090154,13.550453320617017,7.968682472926082,8.628202151696852
Pillar Forest,58.96165604986262,72.49993729972091,62.029793601444304,64.50353008224255,61.62574267543761,56.38089795765053,61.68170815120296,58.89668208521785,58.16306423375751
Thin Planes Stack,106.32127700380717,139.95637056251763,111.80183739472542,95.56257715797264,73.39608892823576,95.54239486421051,123.595828511127,78.80545427600916,105.95355904373673
