,AR-ST,Curvature-Aware Tracing,Enhanced,Hybrid,Overstep-Bisect,Relaxed(ω=1.2),Segment,Slope-AR(β=0.3),Standard
Sphere,0.5811897980007616,0.7792817049115143,0.8037079869425859,0.6276706081332986,0.577362082510535,0.6472325024269406,0.4033264267023624,0.4532134220650601,0.8101537116212462
Grazing Plane,10.085314646226443,11.124030511433531,11.139153994335068,9.52476066936821,8.958482218190682,9.970564127759662,6.7060913071379185,6.968682744739535,10.959921911097156
Cube,0.23754229446301048,0.5677402908642618,0.6074539776122192,0.5652480951826259,0.5387001973650305,0.3117624922059205,0.29540443904771946,0.311832532655063,0.5690985882386768
Thin Torus,0.21011788141666687,0.2983950408548194,0.38673791066407454,0.29135347683393065,0.2807468015342764,0.20728928428177756,0.14712575047804163,0.1988654545299253,0.30342608852378466
Cylinder,0.31202003963915387,0.6442691854912015,0.6784052113890052,0.470324575599777,0.4462784292337232,0.34306866487456567,0.3467777432980182,0.3634108375456493,0.6556570249000591
Near Miss,0.30096839511370344,0.7318223097296073,0.7681181338492449,0.607826507304878,0.5429005300537583,0.291709827741369,0.38112451664581015,0.42995341268616954,0.7575481167533412
Hollow Cube (CSG),0.2524799325492471,0.6185371257214074,0.6437993497020844,0.615750815995175,0.5541715174027201,0.32163099527984806,0.3221945322719322,0.3662414380249505,0.6199320107737234
Smooth Blend,0.2243404817382458,0.5088954706482478,0.5497660790440366,0.39707701446666943,0.3691177864618199,0.23960595500463652,0.27035058412127205,0.2732755472895301,0.5180642184909915
Onion Shell,1.1366410322390612,1.2112406697904319,1.2129938577840906,1.0533797452787956,0.9920035757321505,1.357980997914729,0.6300824579492492,0.712201574238924,1.243053699357244
Menger Sponge (iter=3),0.7155724520124428,1.0276132533357454,1.0821270142602744,0.9238813353986648,0.7987079336819198,0.8274460460165272,0.5424663257170618,0.6450068158578997,1.0653441450223662
Mandelbulb,3.315919204456052,4.295188307448696,4.341949843600528,2.9234282500118702,2.409651924597501,4.387053312125552,2.1910068064500843,3.1261500165409224,4.368771847171464
Bad Lipschitz Sphere,0.035870498406709805,0.0819434762590498,0.11448868264881418,0.0819434762590498,0.08113768254392706,0.001494206537888664,0.7817121273480813,0.03649822220369828,0.0819434762590498
Pillar Forest,10.818914096157046,13.8907618352233,14.487956814381796,13.144983492306453,11.795449609801208,14.311874723112615,7.509766396372046,11.00956941334976,14.926199680980876
Thin Planes Stack,7.471146238970924,8.13711498349081,8.164528039757549,8.017531705783616,8.354496913408198,7.469111590111228,8.214770838975348,8.073696947882164,7.844163302949502
